Mouse,Generation,Sex,InitialWeight,FinalWeight,AST,ALT,ASTALTRatio,BUN,Glucose,NADH,NADP,NADPH,NADPNADPHRatio,LiverWeight,GSH,GSSG,TotalGSH,GSHGSSGRatio,2GSHGSSGRatio,EhGSSG2GSH,Steatosis,Ballooning,Fibrosis
317,35,F,25.9,44.8,65,43,1.512,21.000,91.000,1.860,2.261,0.027,83.817,1.881,22.289,0.432,23.154,51.561,103.122,-182.205,0,2,0
318,35,F,26.7,47.8,37,17,2.176,22.000,74.000,1.613,2.007,0.016,126.880,1.645,42.059,0.582,43.224,72.233,144.466,-195.292,0,5,0
319,35,F,22.7,42.7,47,30,1.567,27.000,120.000,0.304,1.612,0.034,46.997,2.112,33.310,0.420,34.151,79.254,158.507,-193.401,0,4,0
320,35,F,28.3,43.4,41,21,1.952,22.000,103.000,1.586,1.744,0.043,40.932,1.272,25.803,0.216,26.235,119.406,238.811,-195.481,0,3,0
321,35,F,26.1,51.2,56,39,1.436,27.000,142.000,2.231,1.518,0.049,31.273,2.361,36.225,0.524,37.272,69.173,138.346,-192.699,0,4,0
322,35,F,28.5,49.3,45,26,1.731,24.000,114.000,2.807,1.298,0.036,36.534,1.676,23.310,0.424,24.158,54.968,109.937,-183.669,1,3,0
323,35,F,23.1,37.6,52,17,3.059,20.000,95.000,1.554,1.519,0.016,96.059,1.356,20.950,0.247,21.443,84.843,169.686,-188.075,0,2,0
324,35,F,25,41.1,31,16,1.938,24.000,98.000,1.266,1.856,0.023,80.082,1.144,38.992,0.455,39.901,85.769,171.537,-196.585,0,2,0
325,35,F,25.9,42.9,52,37,1.405,26.000,68.000,1.392,1.877,0.131,14.376,1.625,32.633,0.486,33.606,67.085,134.170,-190.881,1,4,0
326,35,F,24.6,35.9,36,23,1.565,20.000,142.000,0.512,1.742,0.020,85.645,2.226,41.871,0.536,42.943,78.052,156.104,-196.275,0,3,0
327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,35,F,19.4,33.9,45,22,2.045,24.000,85.000,0.754,1.400,NA,NA,1.264,13.934,0.211,14.356,65.981,131.961,-179.200,0,3,0
329,35,F,23.5,34.9,36,20,1.800,17.000,115.000,0.774,1.921,NA,NA,1.123,21.872,0.280,22.431,78.226,156.452,-187.562,0,2,0
330,35,F,29.5,43.3,46,32,1.438,20.000,96.000,2.678,1.791,0.148,12.126,2.001,27.208,0.370,27.948,73.505,147.011,-189.663,0,3,1
331,35,F,18.7,28.5,82,23,3.565,17.000,99.000,1.950,1.128,0.093,12.189,1.381,34.974,0.332,35.638,105.349,210.698,-197.890,0,4,0
332,35,F,24.4,43.8,42,22,1.909,22.000,90.000,2.851,1.266,0.156,8.123,1.688,32.639,0.283,33.206,115.300,230.601,-198.175,1,4,0
333,35,F,23.6,30.1,44,22,2.000,16.000,107.000,1.716,1.213,0.151,8.045,1.420,16.008,0.262,16.531,61.173,122.345,-180.050,0,4,0
334,35,F,25.2,30.4,49,21,2.333,19.000,82.000,1.255,1.408,NA,NA,1.620,24.424,0.428,25.280,57.068,114.136,-184.802,1,3,0
335,35,F,24.4,46.9,39,23,1.696,20.000,110.000,1.710,1.208,0.116,10.430,1.418,22.570,0.310,23.190,72.848,145.696,-187.026,0,3,0
336,35,F,24.2,34,46,19,2.421,20.000,84.000,1.444,0.602,0.160,3.759,1.449,29.852,0.392,30.637,76.072,152.145,-191.374,0,3,0
337,35,F,24.6,30.8,119,30,3.967,25.000,89.000,1.544,1.341,0.106,12.626,1.258,30.424,0.212,30.849,143.239,286.479,-200.150,0,3,0
338,35,F,23.1,38.3,58,56,1.036,27.000,94.000,1.028,1.189,0.092,12.995,1.777,38.306,0.493,39.292,77.758,155.516,-195.026,0,3,1
339,35,F,24.4,41.7,50,20,2.500,26.000,84.000,1.648,1.240,NA,NA,1.510,11.532,0.140,11.813,82.210,164.419,-179.614,0,4,1
340,35,F,19.3,24.4,67,28,2.393,24.000,83.000,1.920,1.360,0.105,12.939,1.183,49.800,0.640,51.081,77.768,155.536,-198.561,0,2,0
341,35,F,24.5,36.3,50,21,2.381,33.000,82.000,1.704,0.926,0.214,4.317,1.915,21.391,0.269,21.928,79.622,159.244,-187.501,0,4,0
342,35,F,19.5,38.2,50,24,2.083,27.000,97.000,1.616,1.039,0.126,8.256,1.405,40.587,0.492,41.571,82.517,165.035,-196.605,0,3,0
