Mouse,Generation,Sex,Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV),Hepatic Total Glutathione (nmol/mg),Hepatic GSH (nmol/mg),Hepatic GSSG (nmol/mg),Hepatic GSH/GSSG,Hepatic Eh (mV)
237,35,M,9.522,9.162,0.18,50.866,-170.053,48.091,46.832,0.63,74.378,-197.133
238,35,M,32.095,31.181,0.457,68.239,-190.498,28.954,28.389,0.283,100.396,-194.433
239,35,M,22.281,21.815,0.233,93.681,-189.955,41.066,40.083,0.491,81.582,-196.283
240,35,M,9.614,9.206,0.204,45.192,-168.525,43.959,42.521,0.719,59.148,-192.749
241,35,M,15.382,14.228,0.577,24.668,-166.236,33.876,32.713,0.581,56.269,-188.547
242,35,M,17.292,16.818,0.237,70.883,-182.698,13.784,13.477,0.153,87.819,-182.601
243,35,M,11.433,11.219,0.107,104.487,-182.471,24.029,23.411,0.309,75.797,-188.053
244,35,M,12.691,12.041,0.325,37.034,-169.459,27.557,26.854,0.352,76.342,-189.997
245,35,M,11.85,11.264,0.293,38.481,-169.077,43.974,42.735,0.619,68.999,-194.89
246,35,M,21.332,20.634,0.349,59.129,-183.01,32.146,31.367,0.389,80.531,-192.807
247,35,M,15.34,14.919,0.21,70.936,-181.095,35.261,34.295,0.483,71.009,-192.315
248,35,M,11.148,10.786,0.181,59.696,-174.405,38.327,37.326,0.5,74.616,-194.122
249,35,M,19.861,19.243,0.309,62.301,-182.774,42.662,41.394,0.634,65.295,-193.718
250,35,M,7.839,7.297,0.271,26.954,-158.439,44.119,42.903,0.608,70.547,-195.242
251,35,M,7.642,7.384,0.129,57.156,-168.717,40.116,38.872,0.622,62.492,-192.281
252,35,M,12.726,12.049,0.338,35.621,-168.945,37.345,36.072,0.636,56.672,-189.959
253,35,M,17.577,16.832,0.372,45.209,-176.654,30.973,30.2,0.386,78.163,-191.895
254,35,M,23.709,22.891,0.409,56.022,-183.681,19.02,18.345,0.338,54.343,-180.29
255,35,M,9.763,9.579,0.092,104.096,-180.294,21.153,20.653,0.25,82.664,-187.533
256,35,M,7.875,7.26,0.308,23.601,-156.581,11.402,10.775,0.314,34.344,-166.948
257,35,M,12.879,12.05,0.415,29.07,-166.209,39.86,38.161,0.85,44.917,-187.587
258,35,M,11.145,10.789,0.178,60.718,-174.638,42.982,41.641,0.671,62.068,-193.116
259,35,M,13.153,12.438,0.357,34.819,-169.066,24.258,23.83,0.214,111.251,-193.458
260,35,M,15.684,15.253,0.215,70.815,-181.37,37.227,36.272,0.477,75.995,-193.983
261,35,M,13.138,12.405,0.366,33.862,-168.655,63.291,60.02,1.636,36.694,-190.961
262,35,M,14.647,13.76,0.443,31.036,-168.877,35.833,34.195,0.819,41.761,-185.129
263,35,M,18.807,18.291,0.258,70.921,-183.835,39.415,38.473,0.471,81.72,-195.754
264,35,M,11.097,10.745,0.176,61.047,-174.655,56.155,55.099,0.528,104.411,-203.889
265,35,M,18.552,18.126,0.213,85.025,-186.155,44.404,43.37,0.517,83.88,-197.718
