Mouse,Generation,Sex,Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV),Hepatic NADPH (pmol/ug),Hepatic NADP (pmol/ug),Hepatic NADP/NADPH,Hepatic NADH (pmol/ug)
150,32,M,16.571,15.11,0.731,20.675,-164.667,0.329,0.609,1.848,3.489
151,32,M,27.81,27.169,0.321,84.707,-191.554,0.323,0.623,1.928,2.954
152,32,M,20.382,19.68,0.351,56.058,-181.654,0.549,0.613,1.117,3.646
153,32,M,10.265,9.941,0.162,61.509,-173.71,0.051,0.708,13.906,3.32
154,32,M,16.22,15.85,0.185,85.649,-184.447,0.382,0.589,1.539,2.496
155,32,M,12.52,12.208,0.156,78.416,-179.745,0.327,0.656,2.009,2.206
156,32,M,9.171,8.56,0.306,27.993,-161.097,0.467,2.006,4.295,4.282
157,32,M,16.163,15.872,0.146,108.786,-187.685,0.898,1.3,1.448,4.703
158,32,M,19.421,19.14,0.141,136.197,-193.231,0.561,1.417,2.525,3.909
159,32,M,24.037,23.537,0.25,94.142,-191.043,0.517,1.9,3.674,5.394
160,32,M,14.479,13.85,0.315,44.036,-173.674,NA,1.414,NA,3.131
161,32,F,23.109,22.434,0.338,66.431,-185.703,0.434,1.565,3.607,5.006
162,32,F,24.058,23.452,0.303,77.446,-188.367,0.355,1.57,4.424,3.784
163,32,F,19.825,19.072,0.377,50.626,-179.86,0.122,2.271,18.68,2.642
164,32,F,22.744,21.967,0.388,56.596,-183.264,0.421,1.549,3.682,5.149
165,32,F,17.42,16.522,0.449,36.781,-173.626,0.246,2.575,10.45,6.397
166,32,F,11.158,10.521,0.319,33.024,-166.099,0.197,2.103,10.686,4.55
167,32,F,18.858,18.151,0.354,51.326,-179.378,0.349,1.986,5.693,3.385
168,32,F,11.549,10.962,0.294,37.302,-168.292,0.656,1.388,2.118,3.081
169,32,F,7.648,7.161,0.244,29.368,-159.34,0.242,1.789,7.406,3.094
170,32,F,20.976,20.56,0.208,98.835,-189.878,0.366,2.386,6.525,5.01
171,32,F,12.335,11.819,0.258,45.806,-172.071,0.326,2.132,6.541,3.257
172,32,F,16.432,15.81,0.311,50.848,-177.394,0.205,1.865,9.091,3.091
173,32,F,22.868,22.236,0.316,70.468,-186.379,0.36,2.079,5.775,2.147
174,32,F,19.101,18.754,0.174,107.98,-189.832,0.116,1.47,12.649,4.265
175,32,F,14.404,13.806,0.299,46.163,-174.267,0.071,1.384,19.547,3.218
176,32,F,23.295,22.485,0.405,55.465,-183.305,0.236,0.942,3.996,3.293
177,32,F,11.113,9.887,0.613,16.122,-155.609,0.26,1.316,5.058,2.104
178,32,F,27.961,26.729,0.616,43.4,-182.331,0.463,0.88,1.899,4.503
179,32,F,8.661,7.859,0.401,19.592,-155.142,0.167,0.792,4.746,3.107
180,32,F,17.365,16.552,0.407,40.716,-175.019,0.171,0.895,5.219,3.074
181,32,F,25.284,24.784,0.25,99.142,-192.435,0.274,0.904,3.294,5.234
182,32,F,20.267,19.739,0.264,74.754,-185.57,0.305,0.668,2.19,3.928
183,32,F,21.539,21.04,0.249,84.396,-188.063,0.118,0.92,7.786,4.831
184,32,F,22.524,21.92,0.302,72.51,-186.57,0.19,0.78,4.097,6.933
185,32,F,12.132,11.615,0.259,44.926,-171.575,0.107,0.948,8.849,5.322
186,32,F,20.164,19.555,0.304,64.236,-183.402,0.376,0.538,1.429,5.536
187,32,F,26.997,26.184,0.406,64.442,-187.375,0.285,0.776,2.722,4.663
