Mouse,Generation,Sex,Steatosis,Hydropic Degeneration,Inflammation,Liver GSH (nmol/mg),Liver GSSG (nmol/mg),Liver Total Glutathione (nmol/mg),Liver GSH/GSSG,Liver Eh (mV),Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV)
216,32,F,0,4,2,57.831,0.72,59.272,80.296,-201.004,8.917,8.174,0.372,22.001,-157.232
217,32,F,0,4,2,43.658,0.49,44.637,89.139,-198.626,16.771,16.343,0.214,76.371,-183.316
218,32,F,0,3,3,44.523,0.389,45.301,114.409,-202.25,23.903,22.969,0.467,49.184,-181.974
219,32,F,0,2,3,53.59,0.681,54.951,78.745,-199.716,25.756,24.987,0.384,65.032,-186.868
220,32,F,1,4,1,49.146,0.618,50.382,79.498,-198.679,21.171,20.556,0.307,66.873,-184.616
221,35,M,0,3,1,22.848,0.226,23.301,101.011,-191.592,25.209,24.639,0.285,86.513,-190.522
222,35,M,0,4,1,33.624,0.437,34.498,76.926,-193.126,15.791,15.234,0.279,54.692,-177.875
223,35,M,0,4,2,34.073,0.551,35.175,61.836,-190.365,19.616,18.939,0.338,55.997,-181.123
224,35,M,1,5,2,55.034,0.794,56.621,69.333,-198.361,8.155,7.836,0.159,49.154,-167.487
225,35,M,0,2,2,41.679,0.448,42.575,93.065,-198.582,23.397,22.809,0.294,77.545,-188.009
226,35,M,0,3,2,29.607,0.368,30.343,80.415,-192.011,15.488,14.538,0.475,30.584,-169.42
227,35,M,0,4,1,31.405,0.588,32.581,53.406,-187.294,10.309,9.841,0.234,41.983,-168.431
228,35,M,0,3,2,51.874,0.648,53.169,80.106,-199.509,9.692,9.459,0.117,81.134,-176.768
229,35,M,0,2,2,19.938,0.357,20.651,55.922,-181.797,22.053,21.644,0.204,106.05,-191.518
230,35,M,0,3,2,46.674,0.588,47.851,79.32,-197.954,19.408,18.153,0.628,28.927,-171.66
231,35,M,0,4,1,29.083,0.343,29.769,84.761,-192.479,22.877,22.293,0.292,76.42,-187.505
232,35,M,1,4,1,22.039,0.431,22.901,51.102,-181.932,13.883,13.133,0.375,35.005,-169.869
233,35,M,0,4,2,48.495,0.543,49.581,89.308,-200.066,12.901,12.473,0.214,58.264,-176.034
234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,35,M,0,4,1,45.903,0.666,47.235,68.935,-195.841,14.47,13.932,0.269,51.841,-175.951
236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,35,M,0,2,2,46.832,0.63,48.091,74.378,-197.133,9.522,9.162,0.18,50.866,-170.053
238,35,M,0,3,2,28.389,0.283,28.954,100.396,-194.433,32.095,31.181,0.457,68.239,-190.498
239,35,M,0,2,2,40.083,0.491,41.066,81.582,-196.283,22.281,21.815,0.233,93.681,-189.955
240,35,M,0,2,1,42.521,0.719,43.959,59.148,-192.749,9.614,9.206,0.204,45.192,-168.525
241,35,M,0,3,1,32.713,0.581,33.876,56.269,-188.547,15.382,14.228,0.577,24.668,-166.236
242,35,M,0,3,3,13.477,0.153,13.784,87.819,-182.601,17.292,16.818,0.237,70.883,-182.698
243,35,M,0,3,1,23.411,0.309,24.029,75.797,-188.053,11.433,11.219,0.107,104.487,-182.471
244,35,M,1,3,1,26.854,0.352,27.557,76.342,-189.997,12.691,12.041,0.325,37.034,-169.459
245,35,M,0,3,2,42.735,0.619,43.974,68.999,-194.89,11.85,11.264,0.293,38.481,-169.077
246,35,M,0,3,3,31.367,0.389,32.146,80.531,-192.807,21.332,20.634,0.349,59.129,-183.01
247,35,M,0,4,1,34.295,0.483,35.261,71.009,-192.315,15.34,14.919,0.21,70.936,-181.095
