Mouse,Generation,Sex,Total Glutathione (nmol/mg),GSH (nmol/mg),GSSG (nmol/mg),GSH/GSSG,Eh (mV),NADPH (pmol/ug),NADP (pmol/ug),NADP/NADPH,NADH (pmol/ug),Liver Weight (g)
172,32,F,37.025,35.796,0.615,58.21,-190.216,0.205,1.865,9.091,3.091,1.382
173,32,F,52.254,51.148,0.553,92.54,-201.262,0.36,2.079,5.775,2.147,1.19
174,32,F,57.373,54.028,1.672,32.304,-187.83,0.116,1.47,12.649,4.265,1.573
175,32,F,42.062,40.877,0.592,69.011,-194.294,0.071,1.384,19.547,3.218,1.394
176,32,F,44.624,43.273,0.675,64.063,-194.06,0.236,0.942,3.996,3.293,1.593
177,32,F,65.031,63.604,0.713,89.172,-203.697,0.26,1.316,5.058,2.104,1.073
178,32,F,67.702,66.38,0.661,100.373,-205.865,0.463,0.88,1.899,4.503,1.078
179,32,F,50.039,48.678,0.681,71.503,-197.123,0.167,0.792,4.746,3.107,1.366
180,32,F,57.634,55.553,1.04,53.392,-194.97,0.171,0.895,5.219,3.074,1.337
181,32,F,23.096,22.179,0.458,48.408,-181.289,0.274,0.904,3.294,5.234,1.81
182,32,F,62.46,61.091,0.684,89.296,-203.173,0.305,0.668,2.19,3.928,2.362
183,32,F,39.685,38.593,0.546,70.703,-193.846,0.118,0.92,7.786,4.831,1.334
184,32,F,48.025,46.445,0.79,58.794,-193.857,0.19,0.78,4.097,6.933,1.568
185,32,F,41.96,41.295,0.332,124.199,-202.342,0.107,0.948,8.849,5.322,1.677
186,32,F,39.629,38.685,0.472,81.883,-195.855,0.376,0.538,1.429,5.536,2.322
187,32,F,105.566,103.986,0.79,131.606,-215.556,0.285,0.776,2.722,4.663,1.499
188,32,F,44.906,43.736,0.585,74.777,-196.285,0.197,0.767,3.888,5.028,0.934
189,32,F,54.876,53.721,0.578,93.017,-201.992,0.185,0.894,4.821,4.386,1.785
190,32,F,39.124,38.101,0.511,74.524,-194.382,0.25,0.814,3.249,6.133,1.203
