Mouse,Generation,Sex,NADH (pmol/ug),NADP (pmol/ug),NADPH (pmol/ug),NADP/NADPH,Liver Weight (g),GSH (nmol/mg),GSSG (nmol/mg),Total Glutathione (nmol/mg),GSH/GSSG,Eh (mV)
208,32,F,5.016,0.576,0.071,8.079,1.65,55.098,0.694,56.486,79.4,-200.202
209,32,F,3.163,0.929,0.078,11.898,1.884,64.002,0.488,64.977,131.285,-208.989
210,32,F,3.04,1.336,0.031,42.501,0.935,55.141,0.878,56.898,62.782,-197.051
211,32,F,2.951,1.234,0.029,42.094,1.062,96.583,0.859,98.301,112.411,-212.439
212,32,F,3.995,1.073,0.073,14.606,1.109,61.955,0.942,63.838,65.78,-199.247
213,32,F,4.639,1.113,0.301,3.694,1.563,67.464,0.933,69.329,72.347,-201.675
214,32,F,3.769,1.062,0.069,15.33,1.302,39.903,0.274,40.451,145.509,-204.013
215,32,F,2.659,0.82,0.081,10.089,1.391,59.79,0.866,61.523,69.012,-199.414
216,32,F,3.807,1.005,0.151,6.643,1.995,57.831,0.72,59.272,80.296,-201.004
217,32,F,4.582,0.999,0.202,4.955,1.188,43.658,0.49,44.637,89.139,-198.626
218,32,F,3.643,1.051,0.068,15.395,1.167,44.523,0.389,45.301,114.409,-202.25
219,32,F,3.591,0.997,0.202,4.943,1.1,53.59,0.681,54.951,78.745,-199.716
220,32,F,4.529,0.953,0.097,9.872,1.49,49.146,0.618,50.382,79.498,-198.679
221,35,M,1.365,0.928,0.254,3.655,1.595,22.848,0.226,23.301,101.011,-191.592
222,35,M,2.388,1.092,0.365,2.991,2.129,33.624,0.437,34.498,76.926,-193.126
223,35,M,1.872,1.048,0.405,2.588,1.625,34.073,0.551,35.175,61.836,-190.365
224,35,M,3.269,1.243,0.34,3.661,2.025,55.034,0.794,56.621,69.333,-198.361
225,35,M,2.223,1.221,0.111,10.987,1.348,41.679,0.448,42.575,93.065,-198.582
226,35,M,1.853,1.034,0.432,2.395,1.245,29.607,0.368,30.343,80.415,-192.011
227,35,M,3.367,0.92,0.508,1.811,2.379,31.405,0.588,32.581,53.406,-187.294
