Mouse,Generation,Sex,Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV),Hepatic Total Glutathione (nmol/mg),Hepatic GSH (nmol/mg),Hepatic GSSG (nmol/mg),Hepatic GSH/GSSG,Hepatic Eh (mV),Hepatic NADPH (pmol/ug),Hepatic NADP (pmol/ug),Hepatic NADP/NADPH,Hepatic NADH (pmol/ug),BUN (mg/dL)
128,32,M,6.699,6.4,0.15,42.79,-162.895,68.57,65.643,1.463,44.854,-194.871,0.339,0.77,2.273,2.731,23
129,32,M,14.167,13.567,0.3,45.265,-173.767,59.84,58.592,0.624,93.864,-203.282,0.301,0.835,2.777,3.483,27
130,32,M,18.569,18.104,0.233,77.773,-184.938,71.499,69.616,0.942,73.931,-202.39,0.34,0.157,0.46,2.33,25
131,32,M,12.513,11.595,0.459,25.235,-163.786,35.035,34.452,0.292,118.009,-199.215,0.347,0.921,2.655,4.784,29
132,32,M,12.718,12.164,0.277,43.931,-171.896,60.712,59.103,0.805,73.434,-200.094,0.134,0.309,2.297,3.277,23
133,32,M,20.453,20.047,0.203,98.642,-189.511,53.824,52.55,0.637,82.479,-200.076,0.274,0.666,2.433,3.387,24
134,32,M,15.932,15.606,0.163,95.847,-185.753,66.151,65.318,0.417,156.81,-211.655,0.34,0.741,2.179,4.488,23
135,32,M,16.77,16.377,0.196,83.36,-184.523,54.418,52.914,0.752,70.369,-198.031,0.346,0.503,1.454,3.957,35
136,32,M,17.263,16.718,0.272,61.35,-180.673,53.16,52.433,0.364,144.187,-207.566,0.162,0.622,3.849,4.153,25
137,32,M,17.809,17.59,0.11,160.364,-194.293,68.955,67.826,0.564,120.168,-208.579,0.416,1.167,2.807,3.946,22
138,32,M,13.446,13.196,0.125,105.445,-184.779,NA,NA,1.289,NA,NA,0.595,1.007,1.693,5.008,NA
139,32,M,17.591,16.95,0.32,52.895,-178.862,78.192,77.132,0.53,145.586,-212.893,0.421,0.708,1.683,3.141,22
140,32,M,22.67,22.074,0.298,74.159,-186.968,51.826,51.13,0.348,146.931,-207.481,0.322,0.812,2.521,3.326,27
141,32,M,14.391,14.079,0.156,90.148,-183.541,69.171,67.622,0.775,87.305,-204.237,0.347,0.892,2.571,1.681,17
142,32,M,11.343,10.797,0.273,39.577,-168.885,44.62,43.232,0.694,62.292,-193.669,0.254,0.996,3.923,2.899,14
143,32,M,25.157,24.427,0.365,66.935,-186.951,79.625,77.795,0.915,85.006,-205.764,0.584,0.794,1.36,3.63,31
144,32,M,15.408,14.762,0.323,45.702,-175.033,57.741,56.232,0.755,74.522,-199.622,0.614,0.661,1.076,3.438,24
145,32,M,16.208,15.203,0.502,30.267,-169.882,56.625,55.115,0.755,72.992,-199.073,0.247,0.781,3.16,3.333,26
146,32,M,20.031,18.939,0.546,34.708,-174.684,38.563,38.114,0.225,169.761,-205.471,0.239,0.774,3.241,4.315,24
147,32,M,17.873,17.19,0.342,50.335,-178.384,83.258,78.682,2.288,34.392,-193.734,0.221,0.86,3.885,3.973,43
148,32,M,23.734,21.795,0.97,22.479,-170.726,43.424,42.728,0.348,122.759,-202.645,0.182,0.778,4.28,2.179,22
149,32,M,23.729,23.045,0.342,67.39,-186.258,42.614,41.773,0.421,99.286,-199.483,0.295,0.653,2.211,2.981,21
150,32,M,16.571,15.11,0.731,20.675,-164.667,78.654,77.036,0.809,95.217,-207.16,0.329,0.609,1.848,3.489,24
151,32,M,27.81,27.169,0.321,84.707,-191.554,55.501,54.379,0.561,97.002,-202.721,0.323,0.623,1.928,2.954,21
152,32,M,20.382,19.68,0.351,56.058,-181.654,61.711,59.979,0.866,69.23,-199.499,0.549,0.613,1.117,3.646,24
153,32,M,10.265,9.941,0.162,61.509,-173.71,37.538,36.735,0.402,91.472,-196.649,0.051,0.708,13.906,3.32,15
154,32,M,16.22,15.85,0.185,85.649,-184.447,85.761,84.067,0.847,99.264,-208.896,0.382,0.589,1.539,2.496,21
155,32,M,12.52,12.208,0.156,78.416,-179.745,42.876,42.043,0.416,100.951,-199.794,0.327,0.656,2.009,2.206,20
156,32,M,9.171,8.56,0.306,27.993,-161.097,74.963,73.523,0.72,102.144,-207.477,0.467,2.006,4.295,4.282,31
157,32,M,16.163,15.872,0.146,108.786,-187.685,61.245,59.704,0.77,77.496,-200.956,0.898,1.3,1.448,4.703,21
158,32,M,19.421,19.14,0.141,136.197,-193.231,65.853,64.529,0.662,97.43,-205.084,0.561,1.417,2.525,3.909,21
159,32,M,24.037,23.537,0.25,94.142,-191.043,44.336,42.982,0.677,63.495,-193.849,0.517,1.9,3.674,5.394,17
160,32,M,14.479,13.85,0.315,44.036,-173.674,60.491,59.287,0.602,98.513,-204.092,NA,1.414,NA,3.131,22
161,32,F,23.109,22.434,0.338,66.431,-185.703,56.753,55.623,0.565,98.516,-203.234,0.434,1.565,3.607,5.006,33
162,32,F,24.058,23.452,0.303,77.446,-188.367,61.52,59.89,0.815,73.503,-200.285,0.355,1.57,4.424,3.784,27
163,32,F,19.825,19.072,0.377,50.626,-179.86,58.389,57.501,0.444,129.462,-207.358,0.122,2.271,18.68,2.642,22
164,32,F,22.744,21.967,0.388,56.596,-183.264,41.543,40.543,0.5,81.059,-196.35,0.421,1.549,3.682,5.149,25
165,32,F,17.42,16.522,0.449,36.781,-173.626,66.405,65.289,0.558,117.014,-207.707,0.246,2.575,10.45,6.397,31
166,32,F,11.158,10.521,0.319,33.024,-166.099,30.435,29.872,0.282,106.014,-195.851,0.197,2.103,10.686,4.55,29
167,32,F,18.858,18.151,0.354,51.326,-179.378,69.612,67.875,0.869,78.119,-202.79,0.349,1.986,5.693,3.385,24
168,32,F,11.549,10.962,0.294,37.302,-168.292,44.263,43.617,0.323,134.892,-204.191,0.656,1.388,2.118,3.081,23
169,32,F,7.648,7.161,0.244,29.368,-159.34,34.873,33.884,0.495,68.499,-191.668,0.242,1.789,7.406,3.094,19
170,32,F,20.976,20.56,0.208,98.835,-189.878,50.55,48.991,0.78,62.844,-195.472,0.366,2.386,6.525,5.01,29
171,32,F,12.335,11.819,0.258,45.806,-172.071,46.656,45.294,0.681,66.497,-195.176,0.326,2.132,6.541,3.257,23
172,32,F,16.432,15.81,0.311,50.848,-177.394,37.025,35.796,0.615,58.21,-190.216,0.205,1.865,9.091,3.091,30
173,32,F,22.868,22.236,0.316,70.468,-186.379,52.254,51.148,0.553,92.54,-201.262,0.36,2.079,5.775,2.147,25
174,32,F,19.101,18.754,0.174,107.98,-189.832,57.373,54.028,1.672,32.304,-187.83,0.116,1.47,12.649,4.265,27
175,32,F,14.404,13.806,0.299,46.163,-174.267,42.062,40.877,0.592,69.011,-194.294,0.071,1.384,19.547,3.218,24
176,32,F,23.295,22.485,0.405,55.465,-183.305,44.624,43.273,0.675,64.063,-194.06,0.236,0.942,3.996,3.293,27
177,32,F,11.113,9.887,0.613,16.122,-155.609,65.031,63.604,0.713,89.172,-203.697,0.26,1.316,5.058,2.104,23
178,32,F,27.961,26.729,0.616,43.4,-182.331,67.702,66.38,0.661,100.373,-205.865,0.463,0.88,1.899,4.503,20
179,32,F,8.661,7.859,0.401,19.592,-155.142,50.039,48.678,0.681,71.503,-197.123,0.167,0.792,4.746,3.107,16
180,32,F,17.365,16.552,0.407,40.716,-175.019,57.634,55.553,1.04,53.392,-194.97,0.171,0.895,5.219,3.074,20
181,32,F,25.284,24.784,0.25,99.142,-192.435,23.096,22.179,0.458,48.408,-181.289,0.274,0.904,3.294,5.234,18
182,32,F,20.267,19.739,0.264,74.754,-185.57,62.46,61.091,0.684,89.296,-203.173,0.305,0.668,2.19,3.928,20
183,32,F,21.539,21.04,0.249,84.396,-188.063,39.685,38.593,0.546,70.703,-193.846,0.118,0.92,7.786,4.831,29
184,32,F,22.524,21.92,0.302,72.51,-186.57,48.025,46.445,0.79,58.794,-193.857,0.19,0.78,4.097,6.933,29
185,32,F,12.132,11.615,0.259,44.926,-171.575,41.96,41.295,0.332,124.199,-202.342,0.107,0.948,8.849,5.322,28
186,32,F,20.164,19.555,0.304,64.236,-183.402,39.629,38.685,0.472,81.883,-195.855,0.376,0.538,1.429,5.536,26
187,32,F,26.997,26.184,0.406,64.442,-187.375,105.566,103.986,0.79,131.606,-215.556,0.285,0.776,2.722,4.663,22
188,32,F,21.282,20.39,0.446,45.726,-179.389,44.906,43.736,0.585,74.777,-196.285,0.197,0.767,3.888,5.028,26
189,32,F,21.576,21.116,0.23,91.85,-189.25,54.876,53.721,0.578,93.017,-201.992,0.185,0.894,4.821,4.386,30
190,32,F,9.685,8.799,0.443,19.851,-156.841,39.124,38.101,0.511,74.524,-194.382,0.25,0.814,3.249,6.133,27
191,32,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,32,F,12.538,11.249,0.645,17.443,-158.406,51.646,51.069,0.288,177.181,-209.986,0.062,1.091,17.539,1.581,17
193,32,F,28.556,28.091,0.233,120.705,-196.771,49.565,48.404,0.58,83.435,-199.125,0.241,0.813,3.372,2.442,25
194,32,F,17.577,17.041,0.268,63.583,-181.412,47.565,46.726,0.42,111.349,-202.535,0.375,0.983,2.624,2.884,23
195,32,F,27.75,26.363,0.694,38.013,-180.36,35.559,34.508,0.525,65.682,-191.348,0.249,1.867,7.489,3.163,28
196,32,F,24.296,23.369,0.464,50.408,-182.537,66.9,65.85,0.525,125.492,-208.764,0.166,0.886,5.354,3.151,25
197,32,F,23.099,22.605,0.247,91.507,-190.117,44.14,43.049,0.546,78.871,-196.789,0.074,0.661,8.925,3.362,26
198,32,F,18.995,18.291,0.352,52.007,-179.659,55.449,53.834,0.808,66.641,-197.531,0.241,0.59,2.449,5.082,18
199,32,F,19.35,18.25,0.55,33.17,-173.574,51.641,50.428,0.606,83.156,-199.631,0.138,0.457,3.309,3.61,22
200,32,F,24.507,23.646,0.431,54.919,-183.85,56.342,54.852,0.745,73.668,-199.133,0.206,0.857,4.151,4.112,24
201,32,F,10.336,9.829,0.253,38.808,-167.357,36.04,35.503,0.268,132.278,-201.156,0.213,0.982,4.62,7.572,28
