Mouse,Generation,Sex,Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV)
346,35,F,13.667,13.106,0.281,46.648,-173.707
347,35,F,13.903,13.356,0.274,48.795,-174.568
348,35,F,19.481,17.655,0.913,19.336,-165.862
349,35,F,19.148,18.104,0.522,34.701,-174.074
350,35,F,14.006,12.515,0.745,16.79,-159.329
351,35,F,9.985,9.727,0.129,75.322,-176.144
352,35,F,14.905,14.26,0.322,44.271,-174.14
353,35,F,11.942,11.316,0.313,36.174,-168.307
354,35,F,15.006,14.242,0.382,37.29,-171.812
355,35,F,16.573,15.718,0.427,36.782,-172.955
356,35,F,10.177,9.549,0.314,30.372,-163.667
357,35,F,8.443,8.021,0.211,38.01,-164.34
358,35,F,20.432,18.921,0.755,25.046,-170.278
359,35,F,8.659,8.214,0.223,36.872,-164.25
360,35,F,NA,NA,NA,NA,NA
361,35,F,10.067,9.602,0.232,41.318,-167.885
362,35,F,6.613,6.047,0.283,21.37,-152.784
363,35,F,14.89,13.952,0.469,29.751,-168.494
364,35,F,6.264,5.848,0.208,28.173,-156.055
365,35,F,8.419,7.547,0.436,17.316,-152.935
