Mouse,Generation,Sex,InitialWeight,FinalWeight,AST,ALT,ASTALTRatio,BUN,Glucose,NADH,NADP,NADPH,NADPNADPHRatio,LiverWeight,LiverGSH,LiverGSSG,LiverTotalGSH,LiverGSHGSSGRatio,Liver2GSHGSSGRatio,LiverEhGSSG2GSH,Steatosis,Ballooning,Fibrosis,KidneyGSH,KidneyGSSG,KidneyTotalGSH,KidneyGSHGSSGRatio,Kidney2GSHGSSGRatio,KidneyEhGSSG2GSH
121,32,M,26.8,39.8,68,23,2.957,21,108,4.979,0.78,0.344,2.269,1.471,39.004,0.359,39.721,108.685,217.371,-199.777,0,2,0,7.311,0.289,7.888,25.337,50.674,-157.632
122,32,M,28.1,36.8,120,30,4,26,116,2.553,0.885,0.139,6.352,1.715,58.994,0.916,60.826,64.401,128.802,-198.303,0,2,0,14.462,0.232,14.926,62.232,124.463,-178.913
123,32,M,31.1,36.7,93,30,3.1,33,80,3.338,0.629,0.215,2.932,1.712,65.42,0.774,66.967,84.537,169.074,-203.357,0,3,0,12.321,0.356,13.033,34.629,69.258,-168.865
124,32,M,26,41.1,64,18,3.556,21,118,2.519,1.028,0.277,3.711,1.898,62.07,0.983,64.036,63.157,126.313,-198.724,0,3,0,15.583,0.237,16.058,65.705,131.411,-180.650
125,32,M,28.4,43.8,70,31,2.258,24,109,3.789,0.85,0.457,1.858,1.499,56.214,0.584,57.382,96.244,192.487,-203.062,0,3,0,14.291,0.210,14.710,68.172,136.344,-179.980
126,32,M,28.5,49,30,16,1.875,30,116,3.302,0.933,0.161,5.8,1.947,88.607,1.457,91.521,60.803,121.606,-203.005,1,4,0,7.316,0.372,8.060,19.668,39.337,-154.232
127,32,M,29.6,45.6,39,23,1.696,27,112,3.684,0.727,0.287,2.528,2.247,37.275,0.584,38.444,63.784,127.567,-191.992,1,4,0,11.057,0.278,11.614,39.732,79.464,-169.258
128,32,M,24,31.2,88,28,3.143,23,111,2.731,0.77,0.339,2.273,1.622,65.643,1.463,68.57,44.854,89.708,-194.871,0,3,0,6.400,0.150,6.699,42.790,85.580,-162.895
129,32,M,33.3,50.5,62,35,1.771,27,101,3.483,0.835,0.301,2.777,2.381,58.592,0.624,59.84,93.864,187.727,-203.282,0,5,0,13.567,0.300,14.167,45.265,90.529,-173.767
130,32,M,27.9,32.6,124,44,2.818,25,85,2.33,0.157,0.34,0.46,1.535,69.616,0.942,71.499,73.931,147.862,-202.39,0,1,0,18.104,0.233,18.569,77.773,155.545,-184.938
